Hindi Word,English Word
मैं,I
तुम,You
आप,You
वह,He
यह,it
हम,We
वे,They
खुद,Self
किसी,Any 
कुछ,Some?
होना,Happen
करना,to do
कहना,Tell
जाना,Go
आना,come
देना,Give
लेना,Take
देखना,Look
खाना,Eat
पीना,drink
सोचना,Thinking
पढ़ना,Reading
लिखना,Write
सुनना,Hear
चलना,Walking
आदमी,Man
औरत,women
बच्चा,Child
घर,Home
स्कूल,School
समय,Time
दिन,Day
पानी,Water
खाना,Eat
पैसा,Money
काम,Work
शहर,City 
रास्ता,way
सवाल,Question
जवाब,answer
अच्छा,Good
बुरा,bad
बड़ा,Big
छोटा,Small
नया,New
पुराना,Old
सुंदर,Beautiful
तेज़,Fast
धीरे,Slow
साफ़,clean
जल्दी,Quick
धीरे,Slow
यहाँ,Here
वहाँ,There
अब,Now
तब,Then
हमेशा,Always
कभी,Sometimes
नहीं,No
हाँ,Yes
क्या,What
क्यों,Why
कैसे,How
कौन,Who
कब,When?
कहाँ,Where?
और,And
लेकिन,But
या,Or
क्योंकि,Because
अगर,If
कि,That
तो,So
पर,But
में,In
से,From
तक,till
को,To
लिए,For
बिना,Without
बहुत,Very
थोड़ा,Little
सब,All
कुछ,Some?
फिर,Then
आज,Today
कल,Tomorrow
हर,every
कोई,Any
शायद,Perhaps
अभी,Now!
वही,Same
ऐसा,As such
वैसा,like that
आदि,Etcetera
ऊपर,Above
नीचे,Below
बाहर,Outside
अंदर,Inside
हमेशा,Always
